SL,user_code,day_is,status,start_date_time,end_date_time,break_time,ot_hours
1,3,1/1/2018,Late,11:06,19:58,0,0
2,22,1/1/2018,Excused,13:51,13:57,0,0
3,31,1/1/2018,Late,10:43,19:57,0,0
4,32,1/1/2018,Late,10:20,19:56,0,0
5,36,1/1/2018,Late,10:23,19:58,0,0
6,40,1/1/2018,Absence,0:00,0:00,0,0
7,46,1/1/2018,Excused,10:05,18:39,0,0
8,53,1/1/2018,Late,10:15,21:24,0,0
9,59,1/1/2018,Present,9:12,19:41,0,0
10,60,1/1/2018,Late,10:44,20:27,0,0
11,61,1/1/2018,Late,10:22,19:59,0,0
12,62,1/1/2018,Late,10:24,20:09,0,0
13,64,1/1/2018,Absence,0:00,0:00,0,0
14,1005,1/1/2018,Present,9:47,19:59,0,0
15,1006,1/1/2018,Present,9:19,20:08,0,0
16,1007,1/1/2018,Absence,0:00,0:00,0,0
17,9151,1/1/2018,Present,10:02,19:56,0,0
18,9152,1/1/2018,Late,10:25,20:09,0,0
19,9159,1/1/2018,Late,10:24,19:57,0,0
20,9161,1/1/2018,Absence,10:27,10:28,0,0
21,9162,1/1/2018,Present,10:03,19:57,0,0
22,9164,1/1/2018,Absence,0:00,0:00,0,0
23,9165,1/1/2018,Absence,0:00,0:00,0,0
24,9166,1/1/2018,Absence,0:00,0:00,0,0
25,9167,1/1/2018,Absence,0:00,0:00,0,0
26,9169,1/1/2018,Absence,0:00,0:00,0,0
27,9170,1/1/2018,Absence,0:00,0:00,0,0
28,9173,1/1/2018,Absence,0:00,0:00,0,0
29,9174,1/1/2018,Absence,0:00,0:00,0,0
30,9175,1/1/2018,Absence,0:00,0:00,0,0
31,9176,1/1/2018,Absence,0:00,0:00,0,0
32,9177,1/1/2018,Absence,0:00,0:00,0,0
33,9178,1/1/2018,Absence,0:00,0:00,0,0
34,9179,1/1/2018,Absence,0:00,0:00,0,0
35,9180,1/1/2018,Absence,0:00,0:00,0,0
36,9181,1/1/2018,Absence,0:00,0:00,0,0
37,3,2/1/2018,Late,10:47,20:04,0,0
38,22,2/1/2018,Absence,14:03,14:04,0,0
39,31,2/1/2018,Excused,10:19,16:31,0,0
40,32,2/1/2018,Absence,0:00,0:00,0,0
41,36,2/1/2018,Late,10:30,19:27,0,0
42,40,2/1/2018,Excused,11:25,17:40,0,0
43,46,2/1/2018,Late,10:18,19:32,0,0
44,53,2/1/2018,Late,10:22,20:04,0,0
45,59,2/1/2018,Present,9:59,19:38,0,0
46,60,2/1/2018,Late,11:38,19:56,0,0
47,61,2/1/2018,Late,10:18,19:32,0,0
48,62,2/1/2018,Late,10:26,20:04,0,0
49,64,2/1/2018,Late,16:09,19:36,0,0
50,1005,2/1/2018,Early Out,9:41,17:59,0,0
51,1006,2/1/2018,Present,9:52,19:40,0,0
52,1007,2/1/2018,Late,10:45,20:04,0,0
53,9151,2/1/2018,Late,10:05,19:27,0,0
54,9152,2/1/2018,Late,10:08,20:04,0,0
55,9159,2/1/2018,Late,10:13,19:27,0,0
56,9161,2/1/2018,Late,10:17,19:36,0,0
57,9162,2/1/2018,Late,10:05,19:29,0,0
58,9164,2/1/2018,Absence,0:00,0:00,0,0
59,9165,2/1/2018,Absence,0:00,0:00,0,0
60,9166,2/1/2018,Absence,0:00,0:00,0,0
61,9167,2/1/2018,Absence,0:00,0:00,0,0
62,9169,2/1/2018,Absence,0:00,0:00,0,0
63,9170,2/1/2018,Absence,0:00,0:00,0,0
64,9173,2/1/2018,Absence,0:00,0:00,0,0
65,9174,2/1/2018,Absence,0:00,0:00,0,0
66,9175,2/1/2018,Absence,0:00,0:00,0,0
67,9176,2/1/2018,Absence,0:00,0:00,0,0
68,9177,2/1/2018,Absence,0:00,0:00,0,0
69,9178,2/1/2018,Absence,0:00,0:00,0,0
70,9179,2/1/2018,Absence,0:00,0:00,0,0
71,9180,2/1/2018,Absence,0:00,0:00,0,0
72,9181,2/1/2018,Absence,0:00,0:00,0,0
73,3,3/1/2018,Absence,0:00,0:00,0,0
74,22,3/1/2018,Absence,0:00,0:00,0,0
75,31,3/1/2018,Late,10:26,20:21,0,0
76,32,3/1/2018,Present,10:04,20:19,0,0
77,36,3/1/2018,Late,10:06,20:20,0,0
78,40,3/1/2018,Late,12:18,20:23,0,0
79,46,3/1/2018,Late,10:26,20:08,0,0
80,53,3/1/2018,Excused,10:40,15:35,0,0
81,59,3/1/2018,Present,9:38,20:27,0,0
82,60,3/1/2018,Late,11:17,20:08,0,0
83,61,3/1/2018,Late,10:27,20:23,0,0
84,62,3/1/2018,Late,10:29,20:20,0,0
85,64,3/1/2018,Excused,10:22,17:59,0,0
86,1005,3/1/2018,Absence,0:00,0:00,0,0
87,1006,3/1/2018,Present,9:42,20:27,0,0
88,1007,3/1/2018,Late,10:41,20:23,0,0
89,9151,3/1/2018,Late,10:16,19:19,0,0
90,9152,3/1/2018,Late,10:10,20:01,0,0
91,9159,3/1/2018,Late,10:29,19:15,0,0
92,9161,3/1/2018,Late,10:21,20:23,0,0
93,9162,3/1/2018,Late,10:17,19:21,0,0
94,9164,3/1/2018,Absence,0:00,0:00,0,0
95,9165,3/1/2018,Absence,0:00,0:00,0,0
96,9166,3/1/2018,Absence,0:00,0:00,0,0
97,9167,3/1/2018,Absence,0:00,0:00,0,0
98,9169,3/1/2018,Absence,0:00,0:00,0,0
99,9170,3/1/2018,Absence,0:00,0:00,0,0
100,9173,3/1/2018,Absence,0:00,0:00,0,0
101,9174,3/1/2018,Absence,0:00,0:00,0,0
102,9175,3/1/2018,Absence,0:00,0:00,0,0
103,9176,3/1/2018,Absence,0:00,0:00,0,0
104,9177,3/1/2018,Absence,0:00,0:00,0,0
105,9178,3/1/2018,Absence,0:00,0:00,0,0
106,9179,3/1/2018,Absence,0:00,0:00,0,0
107,9180,3/1/2018,Absence,0:00,0:00,0,0
108,9181,3/1/2018,Absence,0:00,0:00,0,0
109,3,4/1/2018,Late,10:09,20:11,0,0
110,22,4/1/2018,Absence,0:00,0:00,0,0
