sl,user_code,day_is,status,start_date_time,end_date_time,break_time,ot_hours
1,1001,10/3/2019,Present,10/3/19 11:06 AM,10/3/19 7:58 PM,1.3,0
2,1002,10/3/2019,Absent,10/3/19 1:51 PM,10/3/19 1:57 PM,1.5,0.5
3,1003,10/3/2019,Late,10/3/19 10:43 AM,10/3/19 7:57 PM,1,1
4,1001,10/3/2019,Present,10/3/19 10:20 AM,10/3/19 7:56 PM,1,0
5,1001,10/3/2019,Absent,10/3/19 10:23 AM,10/3/19 7:58 PM,1,0
6,1001,10/3/2019,Late,10/3/19 12:00 AM,10/3/19 12:00 AM,1,0
7,1001,10/3/2019,Present,10/3/19 10:05 AM,10/3/19 6:39 PM,1,0
8,1001,10/3/2019,Absent,10/3/19 10:15 AM,10/3/19 9:24 PM,1,0
9,1001,10/3/2019,Late,10/3/19 9:12 AM,10/3/19 7:41 PM,1,0
9,1001,10/3/2019,Late,10/3/19 10:12 AM,10/3/19 8:41 PM,1,0
9,1001,10/3/2019,Late,10/3/19 11:12 AM,10/3/19 9:41 PM,1,0
9,1001,10/3/2019,Late,10/3/19 12:12 PM,10/3/19 10:41 PM,1,0
9,1001,10/3/2019,Late,10/3/19 1:12 PM,10/3/19 11:41 PM,1,0
9,1001,10/3/2019,Late,10/3/19 2:12 PM,10/3/19 12:41 AM,1,0
9,1001,10/3/2019,Late,10/3/19 3:12 PM,10/3/19 1:41 AM,1,0
9,1001,10/3/2019,Late,10/3/19 4:12 PM,10/3/19 2:41 AM,1,0
9,1001,10/3/2019,Late,10/3/19 5:12 PM,10/3/19 3:41 AM,1,0
9,1001,10/3/2019,Late,10/3/19 6:12 PM,10/3/19 4:41 AM,1,0
9,1001,10/3/2019,Late,10/3/19 7:12 PM,10/3/19 5:41 AM,1,0
9,1001,10/3/2019,Late,10/3/19 8:12 PM,10/3/19 6:41 AM,1,0
9,1001,10/3/2019,Late,10/3/19 9:12 PM,10/3/19 7:41 AM,1,0
9,1001,10/3/2019,Late,10/3/19 10:12 PM,10/3/19 8:41 AM,1,0
9,1001,10/3/2019,Late,10/3/19 11:12 PM,10/3/19 9:41 AM,1,0
9,1001,10/3/2019,Late,10/3/19 12:12 AM,10/3/19 10:41 AM,1,0
9,1001,10/3/2019,Late,10/3/19 1:12 AM,10/3/19 11:41 AM,1,0
9,1001,10/3/2019,Late,10/3/19 2:12 AM,10/3/19 12:41 PM,1,0
9,1001,10/3/2019,Late,10/3/19 3:12 AM,10/3/19 1:41 PM,1,0
9,1001,10/3/2019,Late,10/3/19 4:12 AM,10/3/19 2:41 PM,1,0
9,1001,10/3/2019,Late,10/3/19 5:12 AM,10/3/19 3:41 PM,1,0
9,1001,10/3/2019,Late,10/3/19 6:12 AM,10/3/19 4:41 PM,1,0
9,1001,10/3/2019,Late,10/3/19 7:12 AM,10/3/19 5:41 PM,1,0
9,1001,10/3/2019,Late,10/3/19 8:12 AM,10/3/19 6:41 PM,1,0
9,1001,10/3/2019,Late,10/3/19 9:12 AM,10/3/19 7:41 PM,1,0
9,1001,10/3/2019,Late,10/3/19 10:12 AM,10/3/19 8:41 PM,1,0
9,1001,10/3/2019,Late,10/3/19 11:12 AM,10/3/19 9:41 PM,1,0
9,1001,10/3/2019,Late,10/3/19 12:12 PM,10/3/19 10:41 PM,1,0
9,1001,10/3/2019,Late,10/3/19 1:12 PM,10/3/19 11:41 PM,1,0
9,1001,10/3/2019,Late,10/3/19 2:12 PM,10/3/19 12:41 AM,1,0
9,1001,10/3/2019,Late,10/3/19 3:12 PM,10/3/19 1:41 AM,1,0
9,1001,10/3/2019,Late,10/3/19 4:12 PM,10/3/19 2:41 AM,1,0
